title,description,xp_reward,duration_days,category,difficulty,id,created_date,updated_date,created_by_id,is_sample
"Constructor Súper 🏗️","Construye una torre con 10 bloques o libros sin que se caiga","130","1","productivity","2","68f8d8cff3cad43de43fb0b6","2025-10-22T13:14:55.632000","2025-10-22T13:14:55.632000","68f8bc1e327b319b57e0d51f",""
"Gimnasta Campeón 🤸","Aprende a tocar tus pies sin doblar las rodillas","150","3","fitness","3","68f8d8cff3cad43de43fb0bc","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"Músico en Entrenamiento 🎵","Crea tu propia canción y cántala 3 veces","190","2","creative","2","68f8d8cff3cad43de43fb0bd","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"Chef Junior 👨‍🍳","Ayuda a preparar un sándwich (con supervisión)","180","1","productivity","2","68f8d8cff3cad43de43fb0c0","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"Maestro de Formas 📐","Encuentra 3 círculos, 3 cuadrados y 3 triángulos en tu casa","150","1","learning","1","68f8d8cff3cad43de43fb0b5","2025-10-22T13:14:55.632000","2025-10-22T13:14:55.632000","68f8bc1e327b319b57e0d51f",""
"Bailarín Estrella 💃","Inventa una coreografía de 30 segundos y preséntala","200","2","creative","3","68f8d8cff3cad43de43fb0c1","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"Artista Creativo 🎨","Dibuja tu animal favorito usando 5 colores diferentes","200","2","creative","2","68f8d8cff3cad43de43fb0b3","2025-10-22T13:14:55.632000","2025-10-22T13:14:55.632000","68f8bc1e327b319b57e0d51f",""
"Ayudante del Hogar 🏠","Guarda 5 juguetes en su lugar. ¡Ordena tu espacio!","110","1","productivity","1","68f8d8cff3cad43de43fb0b9","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"¡Contador Estrella! ⭐","Cuenta del 1 al 20 sin equivocarte. ¡Puedes usar tus dedos!","100","1","learning","1","68f8d8cff3cad43de43fb0b0","2025-10-22T13:14:55.632000","2025-10-22T13:14:55.632000","68f8bc1e327b319b57e0d51f",""
"Capitán de Concentración 🎯","Completa un rompecabezas de 12 piezas sin parar","200","1","productivity","3","68f8d8cff3cad43de43fb0be","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"Explorador de la Naturaleza 🌿","Sal afuera y encuentra 5 cosas diferentes de la naturaleza","160","1","learning","2","68f8d8cff3cad43de43fb0bb","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"Cuentacuentos 📚","Inventa una historia corta sobre un superhéroe y cuéntala","220","2","creative","3","68f8d8cff3cad43de43fb0b7","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"Científico Curioso 🔬","Observa una planta durante 5 minutos y dibuja lo que ves","180","1","learning","2","68f8d8cff3cad43de43fb0b4","2025-10-22T13:14:55.632000","2025-10-22T13:14:55.632000","68f8bc1e327b319b57e0d51f",""
"Detective de Letras 🔍","Encuentra 5 cosas en tu casa que empiecen con la letra 'A'","150","1","learning","1","68f8d8cff3cad43de43fb0b1","2025-10-22T13:14:55.632000","2025-10-22T13:14:55.632000","68f8bc1e327b319b57e0d51f",""
"Experto en Colores 🌈","Nombra 10 colores diferentes y encuentra algo de cada color","140","1","learning","1","68f8d8cff3cad43de43fb0b8","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"Atleta del Día 🏃‍♂️","Haz 10 saltos de tijera. ¡Cuenta en voz alta!","120","1","fitness","1","68f8d8cff3cad43de43fb0b2","2025-10-22T13:14:55.632000","2025-10-22T13:14:55.632000","68f8bc1e327b319b57e0d51f",""
"Lector Aventurero 📖","Lee o escucha un cuento completo sin distraerte","170","1","learning","2","68f8d8cff3cad43de43fb0bf","2025-10-22T13:14:55.633000","2025-10-22T13:14:55.633000","68f8bc1e327b319b57e0d51f",""
"¡Contador Estrella! ⭐","Cuenta del 1 al 20 sin equivocarte. ¡Puedes usar tus dedos!","100","1","learning","1","68f8dad51c5e653235a0f701","2025-10-22T13:23:33.758000","2025-10-22T13:23:33.758000","68f8bc1e327b319b57e0d51f",""
"Artista Creativo 🎨","Dibuja tu animal favorito usando 5 colores diferentes","200","2","creative","2","68f8dad51c5e653235a0f704","2025-10-22T13:23:33.759000","2025-10-22T13:23:33.759000","68f8bc1e327b319b57e0d51f",""
"Capitán de Concentración 🎯","Completa un rompecabezas de 12 piezas sin parar","200","1","productivity","3","68f8dad51c5e653235a0f70f","2025-10-22T13:23:33.759000","2025-10-22T13:23:33.759000","68f8bc1e327b319b57e0d51f",""
"Experto en Colores 🌈","Nombra 10 colores diferentes y encuentra algo de cada color","140","1","learning","1","68f8dad51c5e653235a0f709","2025-10-22T13:23:33.759000","2025-10-22T13:23:33.759000","68f8bc1e327b319b57e0d51f",""
"Ayudante del Hogar 🏠","Guarda 5 juguetes en su lugar. ¡Ordena tu espacio!","110","1","productivity","1","68f8dad51c5e653235a0f70a","2025-10-22T13:23:33.759000","2025-10-22T13:23:33.759000","68f8bc1e327b319b57e0d51f",""
"Chef Junior 👨‍🍳","Ayuda a preparar un sándwich (con supervisión)","180","1","productivity","2","68f8dad51c5e653235a0f711","2025-10-22T13:23:33.759000","2025-10-22T13:23:33.759000","68f8bc1e327b319b57e0d51f",""
"Atleta del Día 🏃‍♂️","Haz 10 saltos de tijera. ¡Cuenta en voz alta!","120","1","fitness","1","68f8dad51c5e653235a0f703","2025-10-22T13:23:33.759000","2025-10-22T13:23:33.759000","68f8bc1e327b319b57e0d51f",""
"Bailarín Estrella 💃","Inventa una coreografía de 30 segundos y preséntala","200","2","creative","3","68f8dad51c5e653235a0f712","2025-10-22T13:23:33.759000","2025-10-22T13:23:33.759000","68f8bc1e327b319b57e0d51f",""
